376	3
482	3
1130	1
342	3
1204	1
382	3
600	3
771	3
772	3
1015	3
1177	1
883	3
385	3
487	3
492	3
493	3
929	3
271	3
386	3
144	3
650	3
93	3
343	3
581	3
1049	3
558	3
254	3
253	3
1117	1
520	3
465	3
748	3
683	3
173	3
283	3
479	3
179	3
808	3
66	2
116	3
118	3
32	2
787	3
62	2
840	3
894	3
197	3
19	2
60	2
731	3
208	3
278	3
686	3
946	3
570	3
944	3
397	3
363	3
227	3
110	3
1103	1
762	3
318	3
316	3
314	3
763	3
330	3
964	3
7	2
857	3
1176	1
751	3
658	3
86	2
995	3
1155	1
161	3
143	3
502	3
673	3
357	3
24	2
136	3
646	3
890	3
700	3
980	3
814	3
545	3
1012	3
1119	1
1080	1
77	2
1096	1
893	3
1069	3
284	3
571	3
871	3
1151	1
380	3
64	2
615	3
759	3
439	3
207	3
622	3
325	3
324	3
1120	1
1071	1
54	2
73	2
687	3
13	2
811	3
485	3
1132	1
280	3
1165	1
804	3
448	3
586	3
1045	3
608	3
902	3
802	3
1166	1
352	3
903	3
50	2
1070	1
234	3
101	3
168	3
473	3
710	3
648	3
1173	1
452	3
215	3
212	3
220	3
454	3
379	3
664	3
1206	1
1192	1
588	3
579	3
938	3
918	3
1114	1
152	3
697	3
500	3
81	2
496	3
682	3
1156	1
589	3
47	2
789	3
477	3
128	3
345	3
950	3
932	3
949	3
483	3
182	3
540	3
331	3
972	3
781	3
750	3
74	2
901	3
1011	3
239	3
53	2
1040	3
791	3
369	3
843	3
530	3
554	3
819	3
218	3
828	3
1067	3
1207	1
594	3
986	3
140	3
1074	1
36	2
844	3
69	2
549	3
1002	3
712	3
845	3
527	3
146	3
305	3
445	3
1140	1
355	3
649	3
84	2
12	2
954	3
248	3
973	3
879	3
133	3
719	3
557	3
1107	1
1084	1
1085	1
1039	3
1195	1
770	3
1187	1
978	3
273	3
953	3
651	3
56	2
1017	3
534	3
689	3
632	3
639	3
548	3
726	3
185	3
721	3
525	3
663	3
640	3
943	3
941	3
1083	1
993	3
198	3
882	3
223	3
1024	3
11	2
1058	3
394	3
170	3
977	3
1081	1
628	3
90	3
1100	1
801	3
238	3
111	3
1129	1
889	3
887	3
913	3
531	3
366	3
135	3
513	3
923	3
468	3
364	3
1170	1
338	3
390	3
1199	1
475	3
699	3
455	3
222	3
236	3
538	3
1078	1
1047	3
244	3
29	2
1157	1
40	2
873	3
543	3
960	3
735	3
441	3
837	3
82	2
934	3
466	3
300	3
412	3
705	3
153	3
1000	3
807	3
1116	1
853	3
14	2
693	3
1034	3
592	3
127	3
909	3
914	3
790	3
150	3
1122	1
1108	1
1143	1
1111	1
701	3
210	3
657	3
984	3
1009	3
1138	1
1141	1
1075	1
556	3
587	3
126	3
817	3
942	3
99	3
65	2
584	3
458	3
591	3
599	3
444	3
720	3
595	3
821	3
724	3
165	3
1158	1
900	3
815	3
694	3
1172	1
419	3
714	3
416	3
375	3
326	3
287	3
729	3
242	3
671	3
34	2
688	3
841	3
1167	1
1175	1
225	3
935	3
1124	1
775	3
958	3
680	3
733	3
782	3
145	3
131	3
799	3
92	3
611	3
378	3
1121	1
928	3
442	3
247	3
246	3
113	3
219	3
499	3
344	3
785	3
784	3
267	3
1125	1
160	3
353	3
867	3
1001	3
999	3
786	3
243	3
707	3
424	3
744	3
302	3
835	3
767	3
1031	3
730	3
61	2
310	3
829	3
