1,ukwethembana
2,umhluphelani
3,wahlala
4,zithole
5,wangincisha
6,yeyembe
7,ugugile
8,asezikhohliwe
9,elalihamba
10,endabeni
11,abakubo
12,egula
13,okubalulekile
14,embona
15,nhloboni
16,ngophondo
17,bhulose
18,ngangizohamba
19,ukukuqeda
20,awazange
21,alusekho
22,nakuyona
23,udlula
24,encane
25,esontayo
26,ababemukela
27,kasizwa
28,usungafunga
29,sisekhona
30,ayekuphethe
31,zenze
32,waqala
33,ukhona
34,okomuntu
35,bamthunge
36,engadlanga
37,lingakani
38,qhamu
39,babika
40,emyeka
41,ushanti
42,yokuphela
43,izichwe
44,lowayankosikazi
45,angaqeda
46,kuncokola
47,onkosazana
48,eyamxaka
49,sajuluka
50,d
51,isiqhwaga
52,kusobala
53,e
54,okaqwabe
55,neyayishiwo
56,okwanongoma
57,c
58,ugogo
59,o
60,yokupheka
61,esangoma
62,angaqedi
63,akamthengiseli
64,kwashintsha
65,i
66,u
67,ukuzizwa
68,s
69,r
70,semvakwami
71,azinithele
72,kangisenamali
73,masinya
74,zona
75,exoxwayo
76,buyasa
77,lokobakhombisa
78,othulini
79,x
80,ezongenwa
81,uhlobi
82,ngizobuka
83,umdala
84,sebenginukile
85,ngiyamazi
86,ezingabalelwa
87,ukwedlulisa
88,ukukhipha
89,ukhuleka
90,ogwayi
91,kwangalelo
92,angakufisi
93,indima
94,ukuzibuka
95,ngalezizitebhisi
96,bafunde
97,emvilophini
98,kabasaphefumuli
99,bayithini
100,bengingayeka
101,sezibuye
102,okuyiyona
103,nemfolozi
104,basho
105,ngiyakutshela
106,bamisa
107,ukuyengwa
108,bacatshangelwe
109,uyagcizelela
110,boxoshwa
111,likhalile
112,umgexo
113,iqamba
114,wabulala
115,basha
116,ngonyama
117,kakumfikisi
118,ngaxakeka
119,bayoyithola
120,sisazozama
121,ifinyelele
122,beseyiziswambithi
123,kuthandazwa
124,ngathola
125,abathunjiwe
126,kwakhelenwe
127,okusho
128,ifinyelela
129,kwakuhlezi
130,ngamaqushela
131,evela
